,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
156,Sobradinho,-12.8333,-39.1,70.56,88,12,4.34,BR,few clouds
157,Melong,5.1218,9.9614,65.62,98,73,2.46,CM,light rain
158,Tiksi,71.6872,128.8694,36.7,82,94,7.38,RU,overcast clouds
159,Lompoc,34.6391,-120.4579,82.02,75,75,5.01,US,broken clouds
160,San Quintin,30.4833,-115.95,68.31,63,17,11.12,MX,few clouds
161,Te Anau,-45.4167,167.7167,39.54,91,49,1.32,NZ,scattered clouds
162,Itarema,-2.9248,-39.9167,78.91,75,2,12.08,BR,clear sky
163,Georgetown,5.4112,100.3354,78.89,89,20,1.01,MY,few clouds
164,Port Macquarie,-31.4333,152.9167,43.38,79,2,4.9,AU,clear sky
165,Port Elizabeth,-33.918,25.5701,57.88,79,0,9.78,ZA,clear sky
166,Sistranda,63.7256,8.834,55.36,91,100,4.07,NO,overcast clouds
167,Maragogi,-9.0122,-35.2225,76.06,87,10,10.49,BR,clear sky
168,Comodoro Rivadavia,-45.8667,-67.5,49.26,46,19,16.96,AR,few clouds
169,Norman Wells,65.282,-126.8329,50.04,66,75,10.36,CA,light rain
170,Abu Samrah,35.3029,37.1841,68.56,48,0,8.39,SY,clear sky
171,Shelburne,44.0787,-80.2041,84.56,69,100,16.51,CA,overcast clouds
172,Airai,-8.9266,125.4092,59.58,94,90,3.47,TL,overcast clouds
173,Laguna,38.421,-121.4238,96.66,35,1,1.99,US,clear sky
174,Bubaque,11.2833,-15.8333,79.79,83,66,15.08,GW,broken clouds
175,Shimoda,34.6667,138.95,70.16,91,95,8.97,JP,light rain
176,Timizart,36.8,4.2667,67.3,89,82,6.67,DZ,broken clouds
177,Caibarien,22.5206,-79.4669,81.97,77,67,16.69,CU,broken clouds
178,Ngerengere,-6.75,38.1167,68.11,92,57,2.66,TZ,light rain
179,Puerto Berrio,6.4916,-74.4033,93.09,45,83,2.55,CO,broken clouds
180,Qaqortoq,60.7167,-46.0333,52.3,74,100,9.95,GL,overcast clouds
181,Skagen,57.7209,10.5839,59.27,70,100,3.85,DK,overcast clouds
182,Stamford,41.0534,-73.5387,95.0,46,1,4.0,US,clear sky
